artist,genre
Krutikov Music,Unknown
Excelsior Hitz 101,Unknown
Katherine Cordova,Unknown
The Notorious B.I.G.,gangster rap
Aahil World,lo-fi
Mickey Singh,bhangra
Sarmad Qadeer,bhangra
Nawab,punjabi pop
J Star,punjabi pop
Jon Bellion,Unknown
Ilkay Sencan,slap house
Dylan Matthew,melodic bass
Zack Knight,desi
Purple Lions,Unknown
Junior dos Santos Silva,classical
The Beach Boys,baroque pop
Talking Heads,new wave
Dead Or Alive,hi-nrg
Andrea Litkei,Unknown
Extreme,glam metal
KISS,glam metal
X-Ray Dog,Unknown
Queen,classic rock
Marc Streitenfeld,soundtrack
Yashita Sharma,gujarati pop
Romy,hindi pop
Khumariyaan,sufi
Faisal,Unknown
Izzchughtai,indian indie
Taha G,indian indie
Somee Chohan,desi hip hop
Seedhe Maut,desi hip hop
Salar Shamas,desi
Asfar Hussain,sufi
Minar Rahman,bangla pop
Halal Beats,Unknown
Zeb Bangash,sufi
Kanwaiyo,Unknown
Level Five,bangla pop
Adil Sultan,desi hip hop
daddy's girl,Unknown
Tanjib Sarowar,bangla pop
Evalian Massey,Unknown
Journey,album rock
Miles Teller,Unknown
Baltic House Orchestra,Unknown
文武贝,Unknown
Melodrama,Unknown
The Foxies,Unknown
Acoustic Beats,Unknown
Varnan,Unknown
Sahara,bhangra
Robin Carolan,Unknown
Jimmy Khan,desi
Qurram Hussain,desi
Aditya A,indian indie
Palak Muchhal,bollywood
Madhur Sharma,qawwali
Céline Dion,variété française
50 Cent,east coast hip hop
Arhum Sameed,indian indie
Yashraj,desi hip hop
Mk 12-D,Unknown
VTORNIK,phonk
Lil Tecca,melodic rap
Mason Murphy,Unknown
Stephen Sanchez,Unknown
Jonas Brothers,Unknown
Katy Perry,pop
Ashe,Unknown
Nessa Barrett,Unknown
GAYLE,Unknown
Fifth Harmony,pop
Proyash,Unknown
K'NAAN,Unknown
Magic System,afro house
Nora Fatehi,desi pop
Nathan Evans,sea shanties
Gurinder Seagal,hindi pop
Shiekh Sadi,bangla pop
Omar Mukhtar,indian indie
Gautam,Unknown
Prashant Katheriya,Unknown
Aditya Rikhari,hindi indie
Vismay Patel,hindi indie
Taaruk Raina,indian indie
aleemrk,desi hip hop
Pavitar Lassoi,punjabi pop
Tati Falco,latin indie
Billy X,punjabi hip hop
Haroon,ghazal
Farhan Saeed,sufi
Sahil THe Rockstar,Unknown
Lehmber Hussainpuri,bhangra
Nouman Khalid,desi
Waqar Ehsin,sufi
Lewis Capaldi,soft pop
Tommee Profitt,Unknown
Dj Vix,bhangra
Malkit Singh,bhangra
JoSH the Band,desi pop
Garry Sandhu,bhangra
Preyas Sangeet,hindi indie
RedOne,moroccan pop
Bass Nation Blitar,funkot
PRXSXNT FXTURE,phonk
Bizzey,moombahton
Rosa Linn,Unknown
Khaled,raï
Fortitude Pukhtoon Core,desi hip hop
Arbaz Khan,bhangra
Jessie J,Unknown
HUTS,slap house
Ghost,metal
creamy,Unknown
Ali Alvi,indian indie
Mst. Anika Akter,qawwali
Chelsea Cutler,Unknown
Crash Adams,Unknown
Labh Janjua,bollywood
Shruti Unwind,qawwali
Shouse,Unknown
Lane 8,melodic house
Syzz,Unknown
Farruko,reggaeton
SlowFez,Unknown
Sleepy Hallow,brooklyn drill
Jack Harlow,Unknown
Jordan Solomon,Unknown
Rich Brian,Unknown
Lil Baby,Unknown
Nicki Minaj,Unknown
404vincent,Unknown
Central Cee,uk drill
NLE Choppa,Unknown
Joyner Lucas,Unknown
Smiley,Unknown
Cardi B,Unknown
Offset,Unknown
Jogger,nu disco
Rod Wave,Unknown
Fetty Wap,Unknown
Cnotti,Unknown
Training Season,Unknown
C3 Boogie,uk drill
Eva Shaw,big room
Trippie Redd,melodic rap
Gucci Mane,southern hip hop
Rema,afrobeats
Lost Stories,indian indie
Caleb Hearn,Unknown
Alexander Stewart,Unknown
Hayd,Unknown
Forest Blakk,spoken word
Jaz Dhami,bhangra
Barney Sku,bangla pop
Nesz,Unknown
Monty Sharma,bollywood
Dean Lewis,Unknown
Digital Farm Animals,Unknown
Sharn,punjabi pop
Bir,punjabi hip hop
Prabh Singh,punjabi hip hop
Riar Saab,punjabi pop
Cheema Y,punjabi pop
